Id,target,1,2,3,4,5,6,7
0,5.85,4.8,5.85,,,,,
3,4.28,5.88,6.84,,,,,
4,3.97,3.2,2.7,,,,,
5,5.95,7.7,7.06,,,,,
6,4.7,5.5,5.3,,,,,
7,4.36,4.91,4.48,,,,,
8,3.74,3.71,3.76,,,,,
9,7.7,3.75,3.6,,,,,
10,3.34,2.13,5.4,,,,,
11,3.96,2.24,4.22,,,,,
12,4.98,5.7,4.68,,,,,
13,6.79,6.58,2.72,,,,,
14,2.0,1.17,1.46,,,,,
15,9.3,7.55,8.5,,,,,
16,4.1,5.35,4.15,,,,,
17,3.93,3.05,3.87,,,,,
18,4.47,4.73,4.83,,,,,2.5
19,4.1,3.5,2.3,,,,,4.2
20,4.5,4.8,3.0,,,,,
21,5.0,5.3,4.07,,,,,
22,5.75,5.23,4.8,,,,,
23,3.9,3.9,4.8,,,,,
24,6.4,5.6,5.3,,,,,
25,4.5,4.4,3.5,,,,,
26,7.7,6.8,7.4,,,,,
27,3.5,3.3,2.9,,,,,
28,7.1,6.5,5.9,,,,,
29,4.5,3.6,4.5,,,,,
30,4.2,4.7,3.8,,,,,
31,2.2,2.2,3.4,,,,,
33,7.7,5.02,5.4,,,,,
34,4.6,4.25,3.55,,,,,
35,3.3,3.45,2.7,,,,,
36,7.9,6.3,5.8,,,,,
38,2.3,2.3,2.0,,,,,
39,2.5,8.6,6.0,,,,,
41,3.55,4.0,2.85,,,,,
42,5.3,2.4,2.7,,,,,
45,6.8,6.5,7.1,,,,,
47,3.17,3.5,6.13,,,7.3,,
48,1.9,2.1,2.6,,,7.3,3.4,2.9
49,4.55,7.3,6.0,,,,3.4,2.9
50,3.0,5.0,3.3,,,,,
52,3.9,4.2,5.5,,,,,
54,6.0,6.6,6.6,,,,3.1,3.0
55,4.23,4.1,4.3,,,,,
56,6.7,6.1,6.37,,,,,
57,4.7,4.4,3.7,7.0,6.9,8.0,2.7,3.0
58,2.0,3.5,3.6,,,,,
59,4.85,5.95,5.15,,,,,
62,6.9,7.15,6.2,,,,,
63,5.4,4.8,,,,7.0,2.9,3.0
64,4.4,4.27,4.2,3.8,5.8,,,
65,4.2,4.4,5.7,,,,,
66,11.7,10.9,5.9,,,,,
67,4.7,5.4,11.0,,,,,
70,1.3,,1.9,7.0,6.4,,,
72,2.9,3.3,4.1,4.5,,8.5,,
73,4.73,3.97,5.1,,3.5,,6.0,5.0
75,5.4,7.9,6.7,,,6.8,4.8,3.1
76,2.3,1.4,2.6,4.7,6.0,5.6,5.2,
77,1.4,1.7,1.7,,,,,
79,9.6,8.0,8.6,5.3,4.5,,,
82,4.9,5.55,4.9,,,,3.87,2.9
83,3.05,4.55,4.25,2.15,3.3,2.88,1.91,2.84
86,4.2,5.1,4.35,,,,,
87,5.9,5.65,5.05,,,,,
90,4.7,6.1,7.3,,,,3.2,3.7
91,4.1,4.3,5.5,,,,,
93,4.6,4.8,4.97,5.1,5.2,,2.9,2.6
96,4.28,6.02,5.7,,,,,
98,1.9,1.9,2.6,2.57,5.8,,,
99,4.7,4.7,3.3,,,5.79,5.48,3.85
102,4.5,5.3,4.8,4.15,3.52,,,
103,2.1,4.2,6.3,,,6.85,2.87,1.6
105,5.07,4.5,6.03,,,5.84,1.0,2.27
107,3.5,5.9,6.9,3.9,4.39,,,
108,4.6,5.1,5.9,,,,,
109,8.45,8.75,6.95,7.17,6.35,,,
110,7.4,6.6,6.8,,,13.72,8.54,6.34
111,9.2,7.2,8.6,,,,,
112,1.8,1.8,2.1,,,,,
114,4.0,2.8,4.0,,,,,
116,3.12,3.12,1.84,,,,,
117,4.42,2.84,3.16,6.48,4.81,,4.15,4.14
118,2.05,3.87,1.58,,,,,
120,8.65,7.65,6.6,,,,,
121,5.32,3.46,1.98,,,,,
122,6.65,3.54,6.45,,,,,
124,3.9,1.4,2.4,,,7.7,,
125,1.8,2.27,2.94,,,,,
128,4.25,0.9,1.2,,,,,
130,9.8,7.6,6.4,,,,5.2,5.2
131,3.35,3.3,4.7,,,,,
132,6.98,7.6,5.4,,,,,
133,2.0,1.5,3.8,,,,,
134,3.89,4.2,3.9,3.7,6.8,7.7,4.0,3.8
137,5.0,,,,,8.4,2.6,
142,3.6,3.33,6.95,5.8,5.2,5.5,3.9,3.9
145,8.2,8.8,8.8,,,,3.7,4.4
146,3.4,4.02,3.97,,,,,
147,3.15,3.15,2.2,3.95,4.95,6.75,3.5,3.6
148,5.65,6.6,5.8,,,,3.3,3.5
149,9.1,9.65,10.95,,,,,
150,8.8,7.9,6.3,,,,,
151,6.15,5.85,6.7,4.9,5.1,5.2,4.2,3.9
153,5.92,6.58,4.28,2.29,3.2,3.68,,
154,6.7,4.65,5.61,,,,,
157,3.61,2.91,2.52,2.8,8.7,10.2,2.4,2.23
158,1.9,2.86,1.04,3.9,6.3,16.2,3.1,3.17
159,5.6,6.9,8.7,,,,,
160,2.5,2.8,6.02,,,,,
161,5.6,7.0,7.8,,,,,
162,9.0,4.8,5.7,2.29,2.48,6.99,2.27,2.1
163,6.83,5.95,4.7,,,,,
165,5.62,7.1,6.1,,,,,
166,8.2,10.7,7.3,2.04,2.8,8.4,2.15,2.02
169,6.4,6.45,6.5,4.15,5.5,5.2,,
170,6.5,4.8,3.9,,,,,
171,4.2,3.9,4.1,2.3,3.25,7.67,7.3,5.7
173,3.7,3.5,3.3,,,,,
174,11.5,7.1,9.0,,,,,
176,5.6,4.1,3.4,3.5,6.4,6.77,3.4,3.3
178,3.15,3.05,2.4,,,,,
179,3.8,5.2,3.3,6.55,9.3,26.5,6.7,10.37
181,1.8,1.9,2.4,,,,,
183,5.7,5.3,3.9,,,,,
184,4.9,4.6,4.9,2.21,14.79,27.12,3.49,1.83
186,6.4,6.4,6.8,,,,,
187,4.7,3.6,1.9,,,,,
191,4.4,5.7,2.2,,,,,
194,10.7,10.4,8.0,4.1,5.0,9.25,2.4,4.45
196,5.12,4.4,5.4,7.6,,9.55,,
197,3.9,5.0,5.4,10.66,10.46,8.42,6.62,8.25
198,6.5,7.9,4.9,,,,,
199,5.7,3.7,5.2,,,,,
201,7.0,7.3,5.9,,,,,
202,3.75,2.52,1.72,4.72,6.07,5.72,2.95,7.37
203,4.25,4.25,4.8,,,,,
204,4.6,3.1,4.0,8.0,9.25,7.9,5.1,7.5
205,6.8,8.0,7.4,,,,,
207,7.9,8.3,7.6,,,,,
208,2.2,5.0,5.8,,,,,
211,5.6,8.0,8.0,,,,,
212,6.0,6.8,7.2,,,,,
213,8.0,5.2,7.8,,,,,
214,3.1,3.4,4.1,,,,,
